Packetlevel,Neighbour,Component,Depth,Train_AUC,Test_AUC,Train_TPR,Test_TPR,Train_FPR,Test_FPR
4,32,11,7,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,11,8,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,11,9,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,11,10,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,11,11,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,12,2,1.0,0.997,1.0,0.880952,0.774775,0.892857
4,32,12,3,1.0,0.997,1.0,0.857143,0.774775,0.892857
4,32,12,4,1.0,0.997,1.0,0.833333,0.774775,0.880952
4,32,12,5,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,12,6,1.0,0.997,1.0,0.880952,0.774775,0.916667
4,32,12,7,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,12,8,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,12,9,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,12,10,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,32,12,11,1.0,0.997,1.0,0.857143,0.774775,0.904762
4,36,5,2,1.0,0.998,0.981982,0.928571,0.783784,0.916667
4,36,5,3,1.0,0.998,1.0,0.880952,0.774775,0.928571
4,36,5,4,1.0,0.998,1.0,0.904762,0.774775,0.928571
4,36,5,5,1.0,0.998,1.0,0.857143,0.774775,0.928571
4,36,5,6,1.0,0.998,1.0,0.857143,0.774775,0.928571
4,36,5,7,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,5,8,1.0,0.998,1.0,0.904762,0.774775,1.0
4,36,5,9,1.0,0.998,1.0,0.904762,0.774775,1.0
4,36,5,10,1.0,0.998,1.0,0.904762,0.774775,1.0
4,36,5,11,1.0,0.998,1.0,0.904762,0.774775,1.0
4,36,6,2,1.0,0.998,0.981982,0.904762,0.774775,0.892857
4,36,6,3,1.0,0.998,1.0,0.904762,0.774775,0.928571
4,36,6,4,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,36,6,5,1.0,0.998,1.0,0.857143,0.774775,0.952381
4,36,6,6,1.0,0.998,1.0,0.857143,0.774775,0.916667
4,36,6,7,1.0,0.998,1.0,0.880952,0.774775,0.952381
4,36,6,8,1.0,0.998,1.0,0.880952,0.774775,0.952381
4,36,6,9,1.0,0.998,1.0,0.880952,0.774775,0.952381
4,36,6,10,1.0,0.998,1.0,0.880952,0.774775,0.952381
4,36,6,11,1.0,0.998,1.0,0.880952,0.774775,0.952381
4,36,7,2,1.0,0.998,1.0,0.952381,0.783784,0.916667
4,36,7,3,1.0,0.998,1.0,0.904762,0.774775,0.964286
4,36,7,4,1.0,0.998,1.0,0.928571,0.774775,0.916667
4,36,7,5,1.0,0.998,1.0,0.904762,0.774775,1.0
4,36,7,6,1.0,0.998,1.0,0.880952,0.774775,0.952381
4,36,7,7,1.0,0.998,1.0,0.880952,0.774775,0.964286
4,36,7,8,1.0,0.998,1.0,0.880952,0.774775,0.97619
4,36,7,9,1.0,0.998,1.0,0.880952,0.774775,0.97619
